,Road_Configuration,Light_Condition
250,"TWO-WAY,NOT DIVIDED",DAYLIGHT
251,"TWO-WAY,NOT DIVIDED",DAYLIGHT
252,"TWO-WAY,NOT DIVIDED",DAYLIGHT
253,"ONE-WAY,NOT DIVIDED",DAYLIGHT
254,"TWO-WAY,NOT DIVIDED",DAYLIGHT
255,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
256,"ONE-WAY,NOT DIVIDED",DAYLIGHT
257,"TWO-WAY,NOT DIVIDED",DAYLIGHT
258,"TWO-WAY,NOT DIVIDED",DAYLIGHT
259,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
260,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
261,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
262,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
263,"ONE-WAY,NOT DIVIDED",DAYLIGHT
264,"TWO-WAY,NOT DIVIDED",DAYLIGHT
265,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
266,"TWO-WAY,NOT DIVIDED",DAYLIGHT
267,"TWO-WAY,NOT DIVIDED",DAYLIGHT
268,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
269,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
270,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
271,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
272,"TWO-WAY,NOT DIVIDED",DAYLIGHT
273,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
274,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
275,"TWO-WAY,NOT DIVIDED",DAYLIGHT
276,"TWO-WAY,NOT DIVIDED",DAYLIGHT
277,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
278,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
279,"TWO-WAY,NOT DIVIDED",DUSK
280,"TWO-WAY,NOT DIVIDED",DAYLIGHT
281,"TWO-WAY,NOT DIVIDED",DAYLIGHT
282,"TWO-WAY,NOT DIVIDED",DAYLIGHT
283,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
284,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
285,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
286,"TWO-WAY,NOT DIVIDED",DAYLIGHT
287,"TWO-WAY,NOT DIVIDED",DAYLIGHT
288,UNKNOWN,UNKNOWN
289,"TWO-WAY,NOT DIVIDED",DAYLIGHT
290,"TWO-WAY,NOT DIVIDED",DAYLIGHT
291,"ONE-WAY,NOT DIVIDED",DAYLIGHT
292,UNKNOWN,UNKNOWN
293,"TWO-WAY,NOT DIVIDED",DAYLIGHT
294,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
295,"TWO-WAY,NOT DIVIDED",DAYLIGHT
296,"TWO-WAY,NOT DIVIDED",DAYLIGHT
297,"TWO-WAY,NOT DIVIDED",DAYLIGHT
298,"TWO-WAY,NOT DIVIDED",DAYLIGHT
299,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
300,"TWO-WAY,NOT DIVIDED",DAYLIGHT
301,"TWO-WAY,NOT DIVIDED",DAYLIGHT
302,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
303,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
304,"TWO-WAY,NOT DIVIDED",DAYLIGHT
305,"TWO-WAY,NOT DIVIDED",DAYLIGHT
306,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
307,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
308,"TWO-WAY,NOT DIVIDED",DAYLIGHT
309,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
310,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
311,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
312,"TWO-WAY,NOT DIVIDED",DAYLIGHT
313,"TWO-WAY,NOT DIVIDED",DAYLIGHT
314,UNKNOWN,DAYLIGHT
315,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
316,"TWO-WAY,NOT DIVIDED",DAYLIGHT
317,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
318,"TWO-WAY,NOT DIVIDED",DAYLIGHT
319,"TWO-WAY,NOT DIVIDED",DAYLIGHT
320,"TWO-WAY,NOT DIVIDED",DAYLIGHT
321,"TWO-WAY,NOT DIVIDED",DAYLIGHT
322,"TWO-WAY,NOT DIVIDED",DAYLIGHT
323,"ONE-WAY,NOT DIVIDED",DAYLIGHT
324,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
325,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
326,"TWO-WAY,NOT DIVIDED",DAYLIGHT
327,"TWO-WAY,NOT DIVIDED",DAYLIGHT
328,"TWO-WAY,NOT DIVIDED",DAYLIGHT
329,"TWO-WAY,NOT DIVIDED",DAYLIGHT
